,company,location,position,experience,Experience_min,Experience_max,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13,skill_14,skill_15,skill_16,skill_17,skill_18,skill_19,skill_20,skill_21,skill_22,skill_23,skill_24,skill_25,skill_26,skill_27,skill_28
0,Pure Tech Codex Private Limited,Pune,Python,2 - 3,2,3,rest  ,  python  ,  database  ,  django  ,  debugging  ,  mongodb,,,,,,,,,,,,,,,,,,,,,,
1,Surya Informatics Solutions Pvt. Ltd.,Chennai,Python,0 - 3,0,3,python  ,  web technologies  ,  linux  ,  mobile  ,  mysql  ,  angularjs  ,  javascript,,,,,,,,,,,,,,,,,,,,,
2,"RESEARCH DEVELOPERS
     (More Jobs)",(More Jobs),"Python Developer , Python Programmer",0 - 3,0,3,python  ,  research  ,  python programmer  ,  Machine Learning  ,  Pattern Recognition  ,  Image Processing  ,  Digital Image  ,  Signal Processing  ,  Electronic Circuits  ,  Network Analysis,,,,,,,,,,,,,,,,,,
3,Perfios Software,Bengaluru / Bangalore,Python Developer,5 - 8,5,8,python  ,  java  ,  scala,,,,,,,,,,,,,,,,,,,,,,,,,
4,Triadss Tech Solutions,Chennai,Python Developer,0 - 3,0,3,python  ,  django  ,  html5  ,  javascript,,,,,,,,,,,,,,,,,,,,,,,,
5,Ivan Infotech Pvt. Ltd.,Kolkata,Python Developer,2 - 5,2,5,rest  ,  python  ,  security  ,  debugging,,,,,,,,,,,,,,,,,,,,,,,,
6,TandA HR Solutions,"Gurgaon,  Chandigarh",Python Developer,4 - 6,4,6,python  ,  git  ,  django,,,,,,,,,,,,,,,,,,,,,,,,,
7,Datagrid Solutions,Mumbai,Python Developer,2 - 3,2,3,python  ,  database  ,  django  ,  mysql  ,  api,,,,,,,,,,,,,,,,,,,,,,,
8,east india securities ltd.,Kolkata,Python Engineer,2 - 5,2,5,python  ,  hadoop  ,  machine learning,,,,,,,,,,,,,,,,,,,,,,,,,
9,QuEST Global Engineering Pvt Ltd,Pune,Python Developer,4 - 7,4,7,algorithms  ,  python  ,  django  ,  entry level,,,,,,,,,,,,,,,,,,,,,,,,
10,LAKSH HUMAN RESOURCE,Mumbai,Python Developer,1 - 3,1,3,rest  ,  python  ,  django  ,  git,,,,,,,,,,,,,,,,,,,,,,,,
11,JobsLo Consultants,Indore,Python Developer,2 - 3,2,3,python  ,  linux  ,  windows  ,  sql,,,,,,,,,,,,,,,,,,,,,,,,
12,art technology and software india pvt ltd,Cochin/ Kochi/ Ernakulam,Python Developer,2 - 3,2,3,rest  ,  python  ,  database  ,  django  ,  api,,,,,,,,,,,,,,,,,,,,,,,
13,sjain ventures,Raipur,Python intern,0 - 3,0,3,python  ,  web developer  ,  web services,,,,,,,,,,,,,,,,,,,,,,,,,
14,young minds technology solutions pvt ltd,Tirupati,Python Developer,0 - 3,0,3,python  ,  html5  ,  storage  ,  javascript  ,  security  ,  django,,,,,,,,,,,,,,,,,,,,,,
15,Integral Ad Science,France,Python Developer,5 - 8,5,8,signal processing  ,  docker  ,  devops  ,  big data  ,  python,,,,,,,,,,,,,,,,,,,,,,,
16,TandA HR Solutions,"Mohali,  Chandigarh",Python developer,3 - 6,3,6,Python  ,   Django  ,   Flask,,,,,,,,,,,,,,,,,,,,,,,,,
17,systango,Indore,Python Developer,5 - 8,5,8,python  ,  django  ,  javascript  ,  web programming,,,,,,,,,,,,,,,,,,,,,,,,
18,"Next Step Associates
     (More Jobs)",(More Jobs),"""python developer""",1 - 6,1,6,Django  ,  Python,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Nineleaps,Bengaluru / Bangalore,Python Developer,0 - 3,0,3,curl  ,  sql  ,  docker  ,  security  ,  mysql  ,  rest  ,  python  ,  django,,,,,,,,,,,,,,,,,,,,
20,APPLYCUP HIRING SOLUTIONS LLP,Surat,Python Developer,3 - 5,3,5,python   ,  Django  ,   Object Relational Mapper,,,,,,,,,,,,,,,,,,,,,,,,,
21,APPLYCUP HIRING SOLUTIONS LLP,Pune,Python Trainer,4 - 6,4,6,python  ,  web technologies  ,  web technologies,,,,,,,,,,,,,,,,,,,,,,,,,
22,SonicWall Inc.,Bengaluru / Bangalore,Python Developer,5 - 8,5,8,rest api  ,  sql  ,  linux  ,  mysql  ,  mongodb  ,  python  ,  mobile  ,  nosql,,,,,,,,,,,,,,,,,,,,
23,Relevance Lab Inc,Bengaluru / Bangalore,Python Developer,1 - 3,1,3,python  ,  html5  ,  javascript  ,  django  ,  written communication  ,  devops  ,  web technologies,,,,,,,,,,,,,,,,,,,,,
24,APPLYCUP HIRING SOLUTIONS LLP,Gandhinagar,Python Developer,2 - 4,2,4,python  ,  django  ,  html5  ,  javascript,,,,,,,,,,,,,,,,,,,,,,,,
25,APPLYCUP HIRING SOLUTIONS LLP,"Gurgaon,  Delhi,  Delhi/NCR",Python Developer,2 - 15,2,1,python  ,  django  ,  html5  ,  javascript,,,,,,,,,,,,,,,,,,,,,,,,
26,DREAMAJAX TECHNOLOGIES,Bengaluru / Bangalore,PYTHON DEVELOPER,4 - 7,4,7,python  ,  django  ,  api  ,  sql  ,  nosql,,,,,,,,,,,,,,,,,,,,,,,
27,quality thought,Hyderabad/Secunderabad,Python Django,2 - 5,2,5,rest  ,  python  ,  django  ,  information technology,,,,,,,,,,,,,,,,,,,,,,,,
28,Anantha Cyber Tech Pvt Limited,Hyderabad/Secunderabad,Python Developer,3 - 6,3,6,python  ,  c    ,  c  ,  information technology,,,,,,,,,,,,,,,,,,,,,,,,
29,Intellectyx,Coimbatore,Python Developer,3 - 6,3,6,python  ,  mobile  ,  javascript  ,  react.js  ,  django,,,,,,,,,,,,,,,,,,,,,,,
30,WHITE FORCE,Gurgaon,Python Developer,8 - 11,8,1,algorithms  ,  python  ,  mobile  ,  machine learning  ,  ds  ,  mongodb,,,,,,,,,,,,,,,,,,,,,,
31,Congruent Info-Tech,Chennai,Python Developer,3 - 6,3,6,c#  ,  algorithms  ,  python  ,  team player  ,  git  ,  software engineering,,,,,,,,,,,,,,,,,,,,,,
32,CONNECTING 2 WORK,Thiruvananthapuram,Python Developer,5 - 10,5,1,python  ,  storage  ,  django  ,  testing tools  ,  debugging,,,,,,,,,,,,,,,,,,,,,,,
33,INFINITY GROUP,Noida/Greater Noida,PYTHON Developer,2 - 5,2,5,python  ,  css  ,  django  ,  html  ,  bootstrap,,,,,,,,,,,,,,,,,,,,,,,
34,Hughes Systique India Pvt Ltd,"Gurgaon,  Bengaluru / Bangalore",Python Developer,3 - 5,3,5,rest  ,  python  ,  django  ,  iam  ,  multithreading  ,  shell scripting  ,  docker,,,,,,,,,,,,,,,,,,,,,
